"ENTIDAD","NOMBRE_CIENTIFICO","K1","TItulo","Short_Title"
"BAJA CALIFORNIA NORTE","Etrumeus teres","SARDINA JAPONESA ENSENADA SARDINA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Etrumeus teres en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Eucheuma gelidium","ALGA GELIDIUM ENSENADA; ISLA CEDROS; SAN QUINTIN ALGAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Eucheuma gelidium en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Eucheuma spp","ALGA EUCHEMA SAN QUINTIN ALGAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Eucheuma spp en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Eucinostomus argenteus","MOJARRA PLATEADA MEXICALI MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Eucinostomus argenteus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Euthynnus alletteratus","BONITO BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA; SAN FELIPE; SAN QUINTIN; VILLA DE JESUS MARIA BONITO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Euthynnus alletteratus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Fistularia commersonii","PEZ CORNETA SAN FELIPE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Fistularia commersonii en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Galeocerdo cuvier","TINTORERA BAHIA DE LOS ANGELES; ENSENADA TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Galeocerdo cuvier en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Galeorhinus galeus","TIBURON SULFIN EL ROSARIO; ENSENADA; SAN QUINTIN; VILLA DE JESUS MARIA TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Galeorhinus galeus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Gigartina acicularis/Gigartina elegans","ALGA GIGARTINA ENSENADA; SAN FELIPE; SAN QUINTIN ALGAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Gigartina acicularis/Gigartina elegans en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","HAEMULON SCUDDERI","MOJARRA PRIETA BAHIA DE LOS ANGELES MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de HAEMULON SCUDDERI en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Haemulopsis leuciscus","RONCACHO SAN FELIPE RONCO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Haemulopsis leuciscus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Haliotis corrugata","ABULON AMARILLO EL ROSARIO; ENSENADA; ISLA CEDROS ABULON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Haliotis corrugata en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Haliotis rufescens","ABULON ROJO ENSENADA ABULON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Haliotis rufescens en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Haliotis rufescens","ABULON ROJO ENSENADA ABULON Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Haliotis rufescens en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Haliotis sorenseni","ABULON AZUL; ABULON CHINO BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA; ISLA CEDROS ABULON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Haliotis sorenseni en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","HALIOTIS SP","ABULON SE BAHIA DE LOS ANGELES ABULON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de HALIOTIS SP en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","HALIOTIS SP","ABULON SE EL ROSARIO ABULON Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de HALIOTIS SP en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Hoplopagrus guentheri","COCONACO SAN FELIPE PARGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Hoplopagrus guentheri en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Ictalurus punctatus","BAGRE DE CANAL MEXICALI BAGRE Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Ictalurus punctatus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Ictalurus spp","BAGRE SE MEXICALI BAGRE Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Ictalurus spp en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Isurus oxyrinchus","TIBURON MAKO BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA; ISLA CEDROS; SAN QUINTIN; VILLA DE JESUS MARIA TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Isurus oxyrinchus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Kathetostoma averruncus","AGUADO BAHIA DE LOS ANGELES OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Kathetostoma averruncus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Katsuwonus pelamis","BARRILETE ENSENADA BARRILETE Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Katsuwonus pelamis en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","LACHNOLAIMUS MAXIMUS","PEZ PERRO ENSENADA; ISLA CEDROS OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de LACHNOLAIMUS MAXIMUS en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","LARIMUS BREVICEPS","CABEZON SE ENSENADA OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de LARIMUS BREVICEPS en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Lile stolifera","DORADO ENSENADA OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Lile stolifera en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","LITOPENAEUS STYLIROSTRIS","CAMARON AZUL ENSENADA; SAN FELIPE CAMARON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de LITOPENAEUS STYLIROSTRIS en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Litopenaeus vannamei","CAMARON BLANCO MEXICALI; SAN FELIPE CAMARON Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Litopenaeus vannamei en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Lobotes surinamensis","CHOPA BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Lobotes surinamensis en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Lutjanus analis","LUNAREJO SAN FELIPE PARGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Lutjanus analis en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Lutjanus argentiventris","PARGO AMARILLO SAN FELIPE PARGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Lutjanus argentiventris en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Lutjanus guttatus","FLAMENCO SAN FELIPE GUACHINANGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Lutjanus guttatus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","LUTJANUS SP","GUACHINANGO SE BAHIA DE LOS ANGELES GUACHINANGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de LUTJANUS SP en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","LUTJANUS SPP","PARGO SE BAHIA DE LOS ANGELES; SAN FELIPE PARGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de LUTJANUS SPP en BAJA CALIFORNIA NORTE"
