Institution,Collection type,Collection responsible(s),Collection,Basis of record,Collector,Fecha,Collecting date,Catalog Number,Another catalog number,Sex,Preparation,Status,Life stage,Specimen count,Last modification,Expedition,Cruise number,Vessel,Site station,Replicate,Collection method,Continent,Country,State/Province,County,Ocean,Sea/Gulf,River basin,Bay/Sound,Determinator(s),Validation date,Date identified,Type status,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Scientific name,Species authorship,Infraspecific epithet,Infra species authorship,Classify system,",,,,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.36.281,,,,,,2,,OGMEX X,10,B/O Justo Sierra,36,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Actinopterigio,Gurrubata,",Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Micropogonias,,Micropogonias undulatus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.36.29,,,,,,2,,OGMEX X,10,B/O Justo Sierra,36,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Corvina arenera,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Cynoscion,,Cynoscion arenarius,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.36.35,,,,,,1,,OGMEX X,10,B/O Justo Sierra,36,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Serrano oreja negra,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Serranus,,Serranus atrobranchus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.36.5,,,,,,3,,OGMEX X,10,B/O Justo Sierra,36,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Murcií©lago picudo,Actinopterigio,",Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,Halieutichthys,,Halieutichthys aculeatus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.36.66,,,,,,15,,OGMEX X,10,B/O Justo Sierra,36,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Horqueta del Atlíçntico,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Chloroscombrus,,Chloroscombrus chrysurus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.619,,,,,,4,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Bivalvo,Molusco,",Animalia,Mollusca,Bivalvia,,,,,,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.18,,,,,,3,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Berrugato zorro,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Menticirrhus,,Menticirrhus americanus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1993,,ICML:DHLEB:OGMEX XI.11.15.618,,,,,,11,,OGMEX XI,11,B/O Justo Sierra,15,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,,,4/29/93,,"Estrella de mar,Asteroideo,Equinodermo,",Animalia,Echinodermata,Asteroidea,,,,,,,,,,",,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.190,,,,,,2,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Actinopterigio,Ronco canario,",Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Conodon,,Conodon nobilis,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.197,,,,,,1,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Barbudo ocho barbas,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Polynemidae,Polydactylus,,Polydactylus octonemus,,,,,",,,,,,,,"
