"Mangles.Sitio","Especie","Sitios","miny","maxy","Key","Titulo","Texto"
"STA BARBARA 2","Lutjanus argentiventris","Islote 1; STA BARBARA 2",2005,2009,"Islote 1; STA BARBARA 2 Densidad; Red Snapper; Pargo amarillo; Manglar","Titulo","Densidad de Lutjanus argentiventris en manglares de STA BARBARA 2"
"UABCS","Lutjanus argentiventris","UABCS",2009,2009,"UABCS Densidad; Red Snapper; Pargo amarillo; Manglar","Titulo","Densidad de Lutjanus argentiventris en manglares de UABCS"
"ZACATECAS","Lutjanus argentiventris","ZACATECAS",2006,2009,"ZACATECAS Densidad; Red Snapper; Pargo amarillo; Manglar","Titulo","Densidad de Lutjanus argentiventris en manglares de ZACATECAS"
"BAHIA FALSA","Lutjanus argentiventris","BAHIA FALSA",2006,2009,"BAHIA FALSA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de BAHIA FALSA"
"BALANDRA","Lutjanus argentiventris","CERRALVO_REINA; CERRALVO_NORTE; CERRALVO_ESTACAS; BALANDRA; BALANDRA_BOCA",1999,2009,"CERRALVO_REINA; CERRALVO_NORTE; CERRALVO_ESTACAS; BALANDRA; BALANDRA_BOCA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de BALANDRA"
"EL CARDONAL","Lutjanus argentiventris","ESPIRITU_SANTO_PARTIDA_NORESTE; ESPIRITU_SANTO_ISLOTES_NORTE; ESPIRITU_SANTO_ISLOTES_ESTE; ESPIRITU_SANTO_ISLOTES; ESPIRITU_SANTO_BAJO; ISLOTES; EL CARDONAL",1998,2009,"ESPIRITU_SANTO_PARTIDA_NORESTE; ESPIRITU_SANTO_ISLOTES_NORTE; ESPIRITU_SANTO_ISLOTES_ESTE; ESPIRITU_SANTO_ISLOTES; ESPIRITU_SANTO_BAJO; ISLOTES; EL CARDONAL Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de EL CARDONAL"
"EL CONCHALITO","Lutjanus argentiventris","DEDO_NEPTUNO; BAJO_GOLFITO_SAN_LUCAS; ANEGADA; PALMILLA_SAN_JOSE; LINEA; GIORGIO; CHILENO; BLEDITO; ARCO_SAN_LUCAS; EL CONCHALITO",1999,2006,"DEDO_NEPTUNO; BAJO_GOLFITO_SAN_LUCAS; ANEGADA; PALMILLA_SAN_JOSE; LINEA; GIORGIO; CHILENO; BLEDITO; ARCO_SAN_LUCAS; EL CONCHALITO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de EL CONCHALITO"
"EL FRIJOL","Lutjanus argentiventris","BAHIA_CONCEPCION_CHITA2; EL FRIJOL",2005,2009,"BAHIA_CONCEPCION_CHITA2; EL FRIJOL Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de EL FRIJOL"
"EL GALLO","Lutjanus argentiventris","ESPIRITU_SANTO_PUNTA_LOBOS; ESPIRITU_SANTO_PAILEBOTE; EL GALLO",1998,2009,"ESPIRITU_SANTO_PUNTA_LOBOS; ESPIRITU_SANTO_PAILEBOTE; EL GALLO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de EL GALLO"
"EL MANGLE 1","Lutjanus argentiventris","EL MANGLE 1",2009,2009,"EL MANGLE 1 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de EL MANGLE 1"
"EL MANGLE 2","Lutjanus argentiventris","EL MANGLE 2",2009,2009,"EL MANGLE 2 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de EL MANGLE 2"
"EL REQUESON","Lutjanus argentiventris","BUENAVENTURA; EL REQUESON",2006,2009,"BUENAVENTURA; EL REQUESON Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de EL REQUESON"
"EL TOPO","Lutjanus argentiventris","EL TOPO",2006,2009,"EL TOPO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de EL TOPO"
"ENFERMERIA","Lutjanus argentiventris","VENTANA_SUR; PUNTA_GORDA; MUERTOS; CRUCES; CERRALVO_LOMAS_BLANCAS; AGUA MALA; ENFERMERIA",2005,2006,"VENTANA_SUR; PUNTA_GORDA; MUERTOS; CRUCES; CERRALVO_LOMAS_BLANCAS; AGUA MALA; ENFERMERIA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de ENFERMERIA"
"ESPIRITU_SANTO_ERIZOSO","Lutjanus argentiventris","ESPIRITU_SANTO_CATEDRAL_BAJO; ESPIRITU_SANTO_GALLINA; ESPIRITU_SANTO_ERIZOSO",1999,2009,"ESPIRITU_SANTO_CATEDRAL_BAJO; ESPIRITU_SANTO_GALLINA; ESPIRITU_SANTO_ERIZOSO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de ESPIRITU_SANTO_ERIZOSO"
"ISLA DANZANTE","Lutjanus argentiventris","DANZANTE_PUNTA_SURESTE; DANZANTE_PUNTA_NOROESTE; DANZANTE_PUNTA_ESTE; DANZANTE_BIZNAGA; CARMEN_ABISMO; CARMEN_BAJO_SUR; CARMEN_ESTACAS; ISLA DANZANTE",1998,2007,"DANZANTE_PUNTA_SURESTE; DANZANTE_PUNTA_NOROESTE; DANZANTE_PUNTA_ESTE; DANZANTE_BIZNAGA; CARMEN_ABISMO; CARMEN_BAJO_SUR; CARMEN_ESTACAS; ISLA DANZANTE Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de ISLA DANZANTE"
"ISLA DEL CARMEN","Lutjanus argentiventris","CORONADO_LAJAS; CARMEN_TINTORERA; CARMEN_PUNTA_PERICO; CARMEN_PUNTA_LOBOS; El Pozo; CARMEN_CHOYA; ISLA DEL CARMEN",1998,2009,"CORONADO_LAJAS; CARMEN_TINTORERA; CARMEN_PUNTA_PERICO; CARMEN_PUNTA_LOBOS; El Pozo; CARMEN_CHOYA; ISLA DEL CARMEN Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de ISLA DEL CARMEN"
"LA BALLENA","Lutjanus argentiventris","ESPIRITU_SANTO_BALLENA; ESPIRITU_SANTO_GALLO; LA BALLENA",1998,2009,"ESPIRITU_SANTO_BALLENA; ESPIRITU_SANTO_GALLO; LA BALLENA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de LA BALLENA"
"LA DISPENSA","Lutjanus argentiventris","ESPIRITU_SANTO_SAN_GABRIEL; LAS NAVAJAS; LA DISPENSA",2005,2009,"ESPIRITU_SANTO_SAN_GABRIEL; LAS NAVAJAS; LA DISPENSA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de LA DISPENSA"
"LA GALLINA","Lutjanus argentiventris","LA GALLINA",2006,2006,"LA GALLINA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de LA GALLINA"
"LA PUNTA","Lutjanus argentiventris","LA PUNTA",2006,2006,"LA PUNTA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de LA PUNTA"
"LAS POSITAS","Lutjanus argentiventris","LAS POSITAS",2007,2007,"LAS POSITAS Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de LAS POSITAS"
"LOS MOJONES","Lutjanus argentiventris","PUNTA_CHIVATO; INES_GRANDE; LOS MOJONES",2005,2007,"PUNTA_CHIVATO; INES_GRANDE; LOS MOJONES Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de LOS MOJONES"
"MERITO 1","Lutjanus argentiventris","MERITO 1",2006,2009,"MERITO 1 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de MERITO 1"
"MERITO 2","Lutjanus argentiventris","GAVIOTA; FARO DE SAN RAFAEL; BALANDRA_CARDON; MERITO 2",2005,2009,"GAVIOTA; FARO DE SAN RAFAEL; BALANDRA_CARDON; MERITO 2 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de MERITO 2"
"MOGOTE 2","Lutjanus argentiventris","MOGOTE 2",2006,2009,"MOGOTE 2 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de MOGOTE 2"
"MOGOTE 3","Lutjanus argentiventris","MOGOTE 3",2006,2009,"MOGOTE 3 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de MOGOTE 3"
"MOGOTE 4","Lutjanus argentiventris","MOGOTE 4",2006,2009,"MOGOTE 4 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de MOGOTE 4"
"MOGOTE 5","Lutjanus argentiventris","MOGOTE 5",2006,2007,"MOGOTE 5 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de MOGOTE 5"
"MOGOTE_VI","Lutjanus argentiventris","MOGOTE_VI",2009,2009,"MOGOTE_VI Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de MOGOTE_VI"
"MULEGE","Lutjanus argentiventris","PtaNorteMULE; Islote Boca; BAHIA_CONCEPCION_CHITA3; MULEGE",2005,2009,"PtaNorteMULE; Islote Boca; BAHIA_CONCEPCION_CHITA3; MULEGE Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de MULEGE"
