MMID,area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1976,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,406.35,2957008.95
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1977,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,2539,18984103
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1977,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,380.85,2847615.45
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1978,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,4550,12002900
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1978,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,682.5,1800435
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1979,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,3723,11947107
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1979,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,558.45,1792066.05
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1980,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,2794,8700516
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1980,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,419.1,1305077.4
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1981,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,1770,9945630
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1981,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,265.5,1491844.5
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1982,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,1528,10754064
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1982,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,229.2,1613109.6
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1983,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,1110,7207230
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1983,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,166.5,1081084.5
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1984,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,1070,8796470
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1984,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,160.5,1319470.5
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1985,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,1132,5189088
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1985,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,169.8,778363.2
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1986,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,1262,3618154
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1986,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,189.3,542723.1
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1987,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,1502,5533368
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1987,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,225.3,830005.2
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1988,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,1992,10310592
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1988,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,298.8,1546588.8
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1989,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,2321,15325563
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1989,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,348.15,2298834.45
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1990,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,3655,18943865
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1990,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,548.25,2841579.75
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1991,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,2849,15900269
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1991,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,427.35,2385040.35
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1992,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,3132,22569192
