Family,Genero,Especie
,Sphoeroides,annulatus
,Sphoeroides,lobatus
Tripterygiidae,Axoclinus,lucillae
,Axoclinus,multicinctus
,Axoclinus,nigricaudus
,Crocodilichthys,gracilis
,Enneanectes,carminalis
,Enneanectes,reticulatus
,Lepidonectes,clarkhubbsi
Zanclidae,Zanclus,cornutus
