Entidad,Oficina,Mes,Origen,Nombre Comun,Peso Vivo (Kg.),Peso Desem. (Kg.),Valor (pesos),Año
BAJA CALIFORNIA,EL ROSARIO,Marzo,CAPTURA,ALGA GIGARTINA,"40,000.00","40,000.00","240,000.00",2012
BAJA CALIFORNIA,EL ROSARIO,Marzo,CAPTURA,ALGA GELIDIUM,"32,100.00","5,350.00","37,450.00",2010
BAJA CALIFORNIA,ENSENADA,Marzo,CAPTURA,ALGA GELIDIUM,"30,024.00","5,004.00","35,028.00",2011
BAJA CALIFORNIA,ENSENADA,Marzo,CAPTURA,ALGA GELIDIUM,"30,024.00","5,004.00","35,028.00",2010
BAJA CALIFORNIA,ENSENADA,Marzo,CAPTURA,ALGA GELIDIUM,"64,148.72","13,858.72","95,756.83",2014
BAJA CALIFORNIA,ENSENADA,Marzo,CAPTURA,ALGA GELIDIUM,"1,500.00","1,500.00","10,500.00",2010
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"54,000.00","9,000.00","63,000.00",2011
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"38,400.00","6,400.00","47,552.00",2006
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"59,849.38","16,849.38","117,945.67",2013
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"54,000.00","9,000.00","63,000.00",2010
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"84,000.00","14,000.00","105,560.00",2007
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"5,160.00","5,160.00","36,120.00",2012
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"30,000.00","5,000.00","35,000.00",2009
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"27,743.78","5,993.78","50,114.02",2014
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GELIDIUM,"27,636.00","4,606.00","32,242.00",2010
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GIGARTINA,"40,924.73","12,049.73","80,371.73",2014
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GIGARTINA,16,4,24,2010
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA ESPIRULINA,"11,100.00","11,100.00","33,300.00",2010
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GIGARTINA,"39,184.61","39,184.61","274,292.27",2013
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GELIDIUM,"139,184.61","39,184.61","274,292.27",2013
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GIGARTINA,16,4,24,2011
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GELIDIUM,"10,200.00","1,700.00","11,900.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GELIDIUM,"27,636.00","4,606.00","32,242.00",2011
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GELIDIUM,"3,295.24","3,295.24","23,002.50",2014
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Marzo,CAPTURA,ALGA GELIDIUM,"103,205.88","24,975.88","191,769.10",2014
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Marzo,CAPTURA,ALGA GELIDIUM,"11,454.00","11,454.00","114,540.00",2010
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Marzo,CAPTURA,ALGA GELIDIUM,"54,372.00","9,062.00","67,246.00",2010
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Marzo,CAPTURA,ALGA GELIDIUM,"84,786.00","20,251.00","141,382.78",2007
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Marzo,CAPTURA,ALGA GELIDIUM,"65,826.00","20,516.00","181,786.00",2011
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Marzo,CAPTURA,ALGA GELIDIUM,"111,210.00","18,535.00","134,190.00",2013
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Marzo,CAPTURA,ALGA GELIDIUM,"106,830.00","17,805.00","127,440.00",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Marzo,CAPTURA,ALGA GELIDIUM,"148,014.00","24,669.00","153,680.94",2009
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Marzo,CAPTURA,ALGA GELIDIUM,"71,364.00","11,894.00","95,152.00",2006
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Marzo,CAPTURA,ALGA GELIDIUM,218,218,"1,153.22",2013
BAJA CALIFORNIA SUR,SAN CARLOS,Marzo,CAPTURA,ALGA GELIDIUM,"1,716.00","10,296.00","13,066.65",2008
BAJA CALIFORNIA SUR,SANTA ROSALIA,Marzo,CAPTURA,ALGA GELIDIUM,"3,524.00","21,144.00","26,833.85",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Marzo,CAPTURA,ALGA GELIDIUM,"66,972.00","11,162.00","122,396.00",2011
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Marzo,CAPTURA,ALGA GELIDIUM,"64,680.00","10,780.00","87,860.00",2012
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Marzo,CAPTURA,ALGA GELIDIUM,"66,972.00","11,162.00","89,296.00",2010
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Marzo,CAPTURA,ALGA GELIDIUM,"49,158.00","8,193.00","60,931.00",2013
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Marzo,CAPTURA,ALGA GELIDIUM,"161,304.00","26,884.00","205,124.92",2007
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Marzo,CAPTURA,ALGA GELIDIUM,"91,056.00","15,176.00","121,127.50",2009
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Marzo,CAPTURA,ALGA GELIDIUM,"86,972.36","21,047.36","164,808.95",2014
BAJA CALIFORNIA,EL ROSARIO,Abril,CAPTURA,ALGA GELIDIUM,"23,500.00","23,500.00","164,500.00",2009
BAJA CALIFORNIA,EL ROSARIO,Abril,CAPTURA,ALGA GIGARTINA,"2,261.00","2,261.00","11,305.00",2012
BAJA CALIFORNIA,EL ROSARIO,Abril,CAPTURA,ALGA GIGARTINA,"9,163.32","9,163.32","45,816.60",2013
BAJA CALIFORNIA,EL ROSARIO,Abril,CAPTURA,ALGA GIGARTINA,"19,000.00","19,000.00","95,000.00",2010
BAJA CALIFORNIA,EL ROSARIO,Abril,CAPTURA,ALGA GELIDIUM,"40,364.00","8,114.00","64,706.00",2011
BAJA CALIFORNIA,EL ROSARIO,Abril,CAPTURA,ALGA GELIDIUM,"3,105.00","3,105.00","23,566.95",2007
