"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key","State"
"538","Sonora","Ostrea angelica","Guaymas",NA,NA,"Especimen preservado de Ostrea angelica en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"539","Campeche","Ostrea equestris","Isla Del Carmen",NA,NA,"Especimen preservado de Ostrea equestris en Campeche","Moluscos; Malacologia; Presencia; Isla Del Carmen","Isla Del Carmen"
"540","Veracruz de Ignacio de la Llave","Ostrea equestris","Veracruz","1905","1905","Especimen preservado de Ostrea equestris en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"541","Baja California Sur","Ostrea lurida","Bahía Magdalena","1905","1905","Especimen preservado de Ostrea lurida en Baja California Sur","Moluscos; Malacologia; Presencia; Bahía Magdalena","Bahía Magdalena"
"542","Sinaloa","Ostrea lurida","Mazatlán","1905","1905","Especimen preservado de Ostrea lurida en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"543","Sonora","Ostrea lurida","Guaymas",NA,NA,"Especimen preservado de Ostrea lurida en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"544","Sinaloa","Pacipecten tumbezensis","Mazatlán","1905","1905","Especimen preservado de Pacipecten tumbezensis en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"545","Colima","Papyridea aspersa","Manzanillo","1905","1905","Especimen preservado de Papyridea aspersa en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"546","Guerrero","Papyridea aspersa","Acapulco","1905","1905","Especimen preservado de Papyridea aspersa en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"547","Colima","Papyridea crockeri","Manzanillo","1905","1905","Especimen preservado de Papyridea crockeri en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"548","Veracruz de Ignacio de la Llave","Papyridea soleniformis","Veracruz",NA,NA,"Especimen preservado de Papyridea soleniformis en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"549","","Parapholas calva","",NA,NA,"Especimen preservado de Parapholas calva en ","Moluscos; Malacologia; Presencia; ",""
"550","Tamaulipas","Parvilucina costata","Tampico","1905","1905","Especimen preservado de Parvilucina costata en Tamaulipas","Moluscos; Malacologia; Presencia; Tampico","Tampico"
"551","Sinaloa","Penitella penita","Mazatlán","1941","1941","Especimen preservado de Penitella penita en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
