"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key"
"100","Campeche","Bairdiella ronchus","Pan-Lau, Laguna De Términos","1976","1976","Especimen preservado de Bairdiella ronchus en Campeche","Peces; Ictiologia; Presencia; Pan-Lau, Laguna De Términos"
"101","Campeche","Bairdiella sanctaeluciae","Boca De Puerto Real, Laguna De Términos","1977","1977","Especimen preservado de Bairdiella sanctaeluciae en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"102","Campeche","Balistes capriscus","Boca De Puerto Real, Laguna De Términos","1977","1977","Especimen preservado de Balistes capriscus en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"103","Campeche","Balistes capriscus","Laguna De Términos","1984","1984","Especimen preservado de Balistes capriscus en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"104","Campeche","Balistes capriscus","Seyba Playa Campeche","2008","2008","Especimen preservado de Balistes capriscus en Campeche","Peces; Ictiologia; Presencia; Seyba Playa Campeche"
"105","Campeche","Bathyanthias mexicanus","Isla Cayo Arcas","2008","2008","Especimen preservado de Bathyanthias mexicanus en Campeche","Peces; Ictiologia; Presencia; Isla Cayo Arcas"
"106","Campeche","Bellator militaris","Sonda De Campeche Frente A La Laguna De Términos","1981","1981","Especimen preservado de Bellator militaris en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"107","Campeche","Belonesox belizanus","Palizada Boca Chica, Laguna De Términos","1986","1986","Especimen preservado de Belonesox belizanus en Campeche","Peces; Ictiologia; Presencia; Palizada Boca Chica, Laguna De Términos"
"108","Campeche","Bembrops anatirostris","Sonda De Campeche Frente A La Laguna De Términos","1983","1983","Especimen preservado de Bembrops anatirostris en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"109","Campeche","Bollmannia boqueronensis","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Bollmannia boqueronensis en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"110","Campeche","Bollmannia communis","Noroeste De Isla Del Carmen","2008","2008","Especimen preservado de Bollmannia communis en Campeche","Peces; Ictiologia; Presencia; Noroeste De Isla Del Carmen"
"111","Campeche","Bothus ocellatus","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Bothus ocellatus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"112","Campeche","Bothus robinsi","Suroeste De Campeche","2008","2008","Especimen preservado de Bothus robinsi en Campeche","Peces; Ictiologia; Presencia; Suroeste De Campeche"
"113","Campeche","Brevoortia gunteri","Sonda De Campeche Frente A La Laguna De Términos","1981","1981","Especimen preservado de Brevoortia gunteri en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"114","Campeche","Brotula barbata","Frente A Ciudad Del Carmen","2008","2008","Especimen preservado de Brotula barbata en Campeche","Peces; Ictiologia; Presencia; Frente A Ciudad Del Carmen"
"115","Campeche","Brotula barbata","Sonda De Campeche Frente A La Laguna De Términos","1982","1982","Especimen preservado de Brotula barbata en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"116","Campeche","Calamus bajonado","Sonda De Campeche Frente A La Laguna De Términos","1985","1985","Especimen preservado de Calamus bajonado en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"117","Campeche","Calamus calamus","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Calamus calamus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"118","Campeche","Calamus campechanus","Suroeste","2008","2008","Especimen preservado de Calamus campechanus en Campeche","Peces; Ictiologia; Presencia; Suroeste"
"119","Campeche","Calamus penna","Boca De Puerto Real, Laguna De Términos","1982","1982","Especimen preservado de Calamus penna en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
