"","Sci_A","Sci_B","Com_A","Com_B","Scientific_Name","Commun_Name"
"967","Mugil","curema","Lebrancha",NA,"Mugil curema","Lebrancha NA"
"968","Cynoscion","nebulosus","Trucha","pinta","Cynoscion nebulosus","Trucha pinta"
"969","Cynoscion","arenarius","Trucha","blanca","Cynoscion arenarius","Trucha blanca"
"970","Sciaenops","ocellata","Corvina","ocelada","Sciaenops ocellata","Corvina ocelada"
"971","Leiostomus","xanthurus","Croca",NA,"Leiostomus xanthurus","Croca NA"
"972","Micropogonias","undulatus","Gurrubata",NA,"Micropogonias undulatus","Gurrubata NA"
"973","Pogonias","cromis","Tambor","negro","Pogonias cromis","Tambor negro"
"974","Archosargus","probatocephalus","Sargo,","chopa","Archosargus probatocephalus","Sargo, chopa"
"975","Diapterus","auratus","Mojarra","blanca","Diapterus auratus","Mojarra blanca"
"976","Eugerres","plumieri","Mojarra","rayada","Eugerres plumieri","Mojarra rayada"
"977","Eucinostomus","argenteus","Mojarra","plateada","Eucinostomus argenteus","Mojarra plateada"
"978","Conodon","nobilis","Ronco,","canario","Conodon nobilis","Ronco, canario"
"979","Centropomus","undecimalis","Robalo","blanco","Centropomus undecimalis","Robalo blanco"
"980","Centropomus","parallelus","Chucumite",NA,"Centropomus parallelus","Chucumite NA"
"981","Eleotris","pisonis","Guabina","de","Eleotris pisonis","Guabina de"
"982","Menticirrhus","americanus","Raton","del","Menticirrhus americanus","Raton del"
"983","Epinephelus","morio","Mero,","cherna","Epinephelus morio","Mero, cherna"
"984","Mycteroperca","bonaci","Negrillo",NA,"Mycteroperca bonaci","Negrillo NA"
"985","Mycteroperca","microlepis","Abadejo",NA,"Mycteroperca microlepis","Abadejo NA"
"986","Epinephelus","flavolimbatus","Mero","extraviado","Epinephelus flavolimbatus","Mero extraviado"
"987","Mycteroperca","venenosa","Guacamayo,","arigua","Mycteroperca venenosa","Guacamayo, arigua"
"988","Epinephelus","drummondhayi","Lenteja,","abadejo","Epinephelus drummondhayi","Lenteja, abadejo"
"989","Epinephelus","nigritus","Mero","negro,","Epinephelus nigritus","Mero negro,"
"990","Epinephelus","striatus","Mero","del","Epinephelus striatus","Mero del"
"991","Epinephelus","guttatus","Payaso","rojo,","Epinephelus guttatus","Payaso rojo,"
"992","Epinephelus","niveatus","Cherna","pinta","Epinephelus niveatus","Cherna pinta"
"993","Cephalopholis","fulva","Cabrilla","roja","Cephalopholis fulva","Cabrilla roja"
"994","Epinephelus","itajara","Cherna",NA,"Epinephelus itajara","Cherna NA"
"995","Mycteroperca","interstitialis","Gallina,","mero","Mycteroperca interstitialis","Gallina, mero"
"996","Mycteroperca","phenax","Cabrilla,","negrillo,","Mycteroperca phenax","Cabrilla, negrillo,"
"997","Epinephelus","adscensionis","Cabrilla,","payaso","Epinephelus adscensionis","Cabrilla, payaso"
"998","Calamus","bajonado","Mojarron",NA,"Calamus bajonado","Mojarron NA"
"999","Calamus","calamus","Cachipluma",NA,"Calamus calamus","Cachipluma NA"
"1000","Calamus","nodosus","Mojarra,","pluma,","Calamus nodosus","Mojarra, pluma,"
"1001","cruentata","Pargo","Cabrilla","Cephalopholis","cruentata Pargo","Cabrilla Cephalopholis"
"1002","Haemulon","plumieri","Boquilla,","chac-chi","Haemulon plumieri","Boquilla, chac-chi"
"1003","Lachnolaimus","maximus","Boquinete",NA,"Lachnolaimus maximus","Boquinete NA"
"1004","Lopholatilus","Rubia,","Corvinato",NA,"Lopholatilus Rubia,","Corvinato NA"
"1005","Rhomboplites","aurorubens","chamaeleonticeps","Besugo","Rhomboplites aurorubens","chamaeleonticeps Besugo"
"1006","Lutjanus","analis","Pargo","criollo,","Lutjanus analis","Pargo criollo,"
"1007","Lutjanus","griseus",NA,NA,"Lutjanus griseus","NA NA"
"1008","Lutjanus","jocu",NA,NA,"Lutjanus jocu","NA NA"
"1009","Lutjanus","synagris",NA,NA,"Lutjanus synagris","NA NA"
"1010","Lutjanus","vivanus",NA,NA,"Lutjanus vivanus","NA NA"
"1011","Ocyurus","chrysurus",NA,NA,"Ocyurus chrysurus","NA NA"
"1012","Seriola","zonata",NA,NA,"Seriola zonata","NA NA"
"1013","Lutjanus","campechanus",NA,NA,"Lutjanus campechanus","NA NA"
"1014","Lutjanus","buccanella","Huachinango","aleta","Lutjanus buccanella","Huachinango aleta"
"1015","Dasyatis","americana","Raya","latigo","Dasyatis americana","Raya latigo"
"1016","Dasyatis","sabina","Raya","o","Dasyatis sabina","Raya o"
"1017","Aetobatus","narinari","Chucho","o","Aetobatus narinari","Chucho o"
"1018","Gymnura","micrura","Raya","mariposa","Gymnura micrura","Raya mariposa"
"1019","Rhinoptera","bonasus","Manta","cubanita","Rhinoptera bonasus","Manta cubanita"
"1020","Bagre","marinus","Bandera",NA,"Bagre marinus","Bandera NA"
"1021","Carcharhinus","leucas","Tiburon","chato","Carcharhinus leucas","Tiburon chato"
"1022","Carcharhinus","falciformis","Tiburon","sedoso","Carcharhinus falciformis","Tiburon sedoso"
"1023","Carcharhinus","porosus","Tiburon","poroso","Carcharhinus porosus","Tiburon poroso"
"1024","Galeocerdo","cuvieri","Tiburon","tintorera","Galeocerdo cuvieri","Tiburon tintorera"
"1025","Lutjanus","campechanus","Huachinango",NA,"Lutjanus campechanus","Huachinango NA"
"1026","Ocyurus","chrysurus","Rubia",NA,"Ocyurus chrysurus","Rubia NA"
"1027","Rachycentron","canadum","Esmedregal",NA,"Rachycentron canadum","Esmedregal NA"
"1028","Raja","texana","Raya",NA,"Raja texana","Raya NA"
"1029","Rhinobatos","lentiginosus","Guitarra",NA,"Rhinobatos lentiginosus","Guitarra NA"
"1030","Rhizoprionodon","terranovae","Cazon",NA,"Rhizoprionodon terranovae","Cazon NA"
"1031","Sphyrna","lewini","Tiburon","martillo","Sphyrna lewini","Tiburon martillo"
"1032","Sphyrna","tiburo","Tiburon","martillo","Sphyrna tiburo","Tiburon martillo"
"1033","Squalus","cubensis","Cazon","bagre","Squalus cubensis","Cazon bagre"
"1034","Octopus","maya","Poulpo","rojo","Octopus maya","Poulpo rojo"
"1035","Octopus","vulgaris","Pulpo","paton","Octopus vulgaris","Pulpo paton"
"1036","Megalops","atlanticus","Sabalo,","plateado,","Megalops atlanticus","Sabalo, plateado,"
"1037","Caranx","hippos","Jurel",NA,"Caranx hippos","Jurel NA"
"1038","Coriphaena","hippurus","Dorado",NA,"Coriphaena hippurus","Dorado NA"
"1039","Euthynnus","alletteratus","Bonito",NA,"Euthynnus alletteratus","Bonito NA"
"1040","Rachycentron","canadum","Cobia,","bacalao","Rachycentron canadum","Cobia, bacalao"
"1041","Scomberomorus","cavalla","Peto",NA,"Scomberomorus cavalla","Peto NA"
"1042","Seriola","sp.","Medregal",NA,"Seriola sp.","Medregal NA"
"1043","Sphyraena","barracuda","Barracuda",NA,"Sphyraena barracuda","Barracuda NA"
"1044","Thunnus","spp.","Atunes",NA,"Thunnus spp.","Atunes NA"
"1045","Rhizoprionodon","terraenovae","Cazon","de","Rhizoprionodon terraenovae","Cazon de"
"1046","Sphyrna","tiburo","Cazon","cabeza","Sphyrna tiburo","Cazon cabeza"
"1047","Carcharhinus","limbatus","Tiburon","puntas","Carcharhinus limbatus","Tiburon puntas"
"1048","Carcharhinus","acronotus","Cazon","canguay,","Carcharhinus acronotus","Cazon canguay,"
"1049","Sphyrna","lewini","Cornuda",NA,"Sphyrna lewini","Cornuda NA"
"1050","Carcharhinus","leucas","Tiburon","chato,","Carcharhinus leucas","Tiburon chato,"
"1051","Carcharhinus","falciformis","Tiburon","prieto,","Carcharhinus falciformis","Tiburon prieto,"
"1052","Carcharhinus","porosus","Cazon","poroso,","Carcharhinus porosus","Cazon poroso,"
"1053","Carcharhinus","brevipinna","Tiburon","punta","Carcharhinus brevipinna","Tiburon punta"
"1054","Caranx","hippos","Jureles",NA,"Caranx hippos","Jureles NA"
"1055","Scomberomorus","cavalla","Peto",NA,"Scomberomorus cavalla","Peto NA"
"1056","Rachycentron","canadum","Bacalao",NA,"Rachycentron canadum","Bacalao NA"
"1057","Seriola","spp","Esmedregal",NA,"Seriola spp","Esmedregal NA"
"1058","Ephinephelus","spp","Meros",NA,"Ephinephelus spp","Meros NA"
"1059","Lutjanus","spp","Pargos,","cuberas","Lutjanus spp","Pargos, cuberas"
"1060","Thunnus","albacares","Atun","aleta","Thunnus albacares","Atun aleta"
"1061","Acanthocybium","solandri","Peto,","wahoo","Acanthocybium solandri","Peto, wahoo"
"1062","Alopias","spp.","Tiburon","zorro","Alopias spp.","Tiburon zorro"
"1063","Alepisaurus","spp.","Lanceta",NA,"Alepisaurus spp.","Lanceta NA"
"1064","Carcharhinus","limbatus","Tiburon","puntas","Carcharhinus limbatus","Tiburon puntas"
"1065","Carcharhinus","falciformis","Tiburon","aleta","Carcharhinus falciformis","Tiburon aleta"
"1066","Carcharhinus","longimanus","Tiburon","puntas","Carcharhinus longimanus","Tiburon puntas"
"1067","Coryphaena","hippurus","Dorado",NA,"Coryphaena hippurus","Dorado NA"
"1068","Galeocerdo","cuvieri","Tintorera,","tigre","Galeocerdo cuvieri","Tintorera, tigre"
"1069","Istiophorus","albicans","Pez","vela","Istiophorus albicans","Pez vela"
"1070","Isurus","oxyrinchus","Tiburon","mako,","Isurus oxyrinchus","Tiburon mako,"
"1071","Katsuwonus","pelamis","Barrilete,","listado","Katsuwonus pelamis","Barrilete, listado"
"1072","Makaira","nigricans","Marlin","azul","Makaira nigricans","Marlin azul"
"1073","Ruvettus","pretiosus","Aceitoso",NA,"Ruvettus pretiosus","Aceitoso NA"
"1074","Sphyrna","spp","Tiburon","martillo,","Sphyrna spp","Tiburon martillo,"
"1075","Tetrapturus","albidus","Marlin","blanco","Tetrapturus albidus","Marlin blanco"
"1076","Tetrapturus","pfluegeri","Marlin","aguja","Tetrapturus pfluegeri","Marlin aguja"
"1077","Thunnus","atlanticus","Atun","aleta","Thunnus atlanticus","Atun aleta"
"1078","Thunnus","obesus","Patudo",NA,"Thunnus obesus","Patudo NA"
"1079","Thunnus","thynnus","Atun","aleta","Thunnus thynnus","Atun aleta"
"1080","Xiphias","gladius","Pez","espada","Xiphias gladius","Pez espada"
