"","Sci_A","Sci_B","Com_A","Com_B","Scientific_Name","Commun_Name"
"324","Cynoscion","parvipinnis",NA,NA,"Cynoscion parvipinnis","NA NA"
"325","Cynoscion","othonopterus",NA,NA,"Cynoscion othonopterus","NA NA"
"326","amarilla","Umbrina",NA,NA,"amarilla Umbrina","NA NA"
"327","Micropogonias","megalops",NA,NA,"Micropogonias megalops","NA NA"
"328","chico","Roncador",NA,NA,"chico Roncador","NA NA"
"329","Cheilotrema","saturna",NA,NA,"Cheilotrema saturna","NA NA"
"330","Menticirrhus","undulatus",NA,NA,"Menticirrhus undulatus","NA NA"
"331","Cynoscion","nannus",NA,NA,"Cynoscion nannus","NA NA"
"332","Cynoscion","stolzmanni",NA,NA,"Cynoscion stolzmanni","NA NA"
"333","Cynoscion","squamipinnis",NA,NA,"Cynoscion squamipinnis","NA NA"
"334","Micropogonias","altipinnis",NA,NA,"Micropogonias altipinnis","NA NA"
"335","Menticirrhus","nasus",NA,NA,"Menticirrhus nasus","NA NA"
"336","Atractoscion","nobilis",NA,NA,"Atractoscion nobilis","NA NA"
"337","Bairdiella","armata",NA,NA,"Bairdiella armata","NA NA"
"338","Bairdiella","icistia",NA,NA,"Bairdiella icistia","NA NA"
"339","Umbrina","xanti",NA,NA,"Umbrina xanti","NA NA"
"340","Cynoscion","reticulatus",NA,NA,"Cynoscion reticulatus","NA NA"
"341","anaranjada","Cynoscion",NA,NA,"anaranjada Cynoscion","NA NA"
"342","Menticirrhus","panamensis",NA,NA,"Menticirrhus panamensis","NA NA"
"343","Cynoscion","albus",NA,NA,"Cynoscion albus","NA NA"
"344","Diplectrum","pacificum",NA,NA,"Diplectrum pacificum","NA NA"
"345","Paralabrax","maculatofasciatus",NA,NA,"Paralabrax maculatofasciatus","NA NA"
"346","Serranus","huascarii",NA,NA,"Serranus huascarii","NA NA"
"347","Balistes","polylepis",NA,NA,"Balistes polylepis","NA NA"
"348","Mugil","cephalus",NA,NA,"Mugil cephalus","NA NA"
"349","Calamus","brachysomus",NA,NA,"Calamus brachysomus","NA NA"
"350","Trachinotus","paitensis",NA,NA,"Trachinotus paitensis","NA NA"
"351","Sebastes","paucispinis",NA,NA,"Sebastes paucispinis","NA NA"
"352","Sebastes","paucispinis",NA,NA,"Sebastes paucispinis","NA NA"
"353","Pacifico","Lutjanus",NA,NA,"Pacifico Lutjanus","NA NA"
"354","Lutjanus","guttatus",NA,NA,"Lutjanus guttatus","NA NA"
"355","Lutjanus","argentiventris",NA,NA,"Lutjanus argentiventris","NA NA"
"356","colmillon","Lutjanus",NA,NA,"colmillon Lutjanus","NA NA"
"357","Lutjanus","colorado",NA,NA,"Lutjanus colorado","NA NA"
"358","prieto","Lutjanus",NA,NA,"prieto Lutjanus","NA NA"
"359","Lutjanus","inermis",NA,NA,"Lutjanus inermis","NA NA"
"360","Lutjanus","viridis",NA,NA,"Lutjanus viridis","NA NA"
"361","Hoplopagrus","guentheri",NA,NA,"Hoplopagrus guentheri","NA NA"
"362","Lutjanus","aratus",NA,NA,"Lutjanus aratus","NA NA"
"363","amarilla;Acanthurus","xanthopterus",NA,NA,"amarilla;Acanthurus xanthopterus","NA NA"
"364","Alphestes","immaculatus",NA,NA,"Alphestes immaculatus","NA NA"
"365","trompa","Aluterus",NA,NA,"trompa Aluterus","NA NA"
"366","Anisotremus","interruptus",NA,NA,"Anisotremus interruptus","NA NA"
"367","Balistes","polylepis",NA,NA,"Balistes polylepis","NA NA"
"368","Calamus","brachysomus",NA,NA,"Calamus brachysomus","NA NA"
"369","hebra;cocinero;Carangoides","otrynter",NA,NA,"hebra;cocinero;Carangoides otrynter","NA NA"
"370","Caranx","caninus",NA,NA,"Caranx caninus","NA NA"
"371","Caranx","sexfasciatus",NA,NA,"Caranx sexfasciatus","NA NA"
"372","Caulolatilus","affinis",NA,NA,"Caulolatilus affinis","NA NA"
"373","Epinephelus","itajara",NA,NA,"Epinephelus itajara","NA NA"
"374","Epinephelus","labriformis",NA,NA,"Epinephelus labriformis","NA NA"
"375","Epinephelus","niphobles",NA,NA,"Epinephelus niphobles","NA NA"
"376","Haemulon","flaviguttatum",NA,NA,"Haemulon flaviguttatum","NA NA"
"377","Haemulon","maculicauda",NA,NA,"Haemulon maculicauda","NA NA"
"378","Haemulon","sexfasciatum",NA,NA,"Haemulon sexfasciatum","NA NA"
"379","Kyphosus","analogus",NA,NA,"Kyphosus analogus","NA NA"
"380","Kyphosus","elegans",NA,NA,"Kyphosus elegans","NA NA"
"381","Microlepidotus","brevipinnis",NA,NA,"Microlepidotus brevipinnis","NA NA"
"382","Microlepidotus","inornatus",NA,NA,"Microlepidotus inornatus","NA NA"
"383","Microlepidotus","inornatus",NA,NA,"Microlepidotus inornatus","NA NA"
"384","Mycteroperca","jordani",NA,NA,"Mycteroperca jordani","NA NA"
"385","Mycteroperca","rosacea",NA,NA,"Mycteroperca rosacea","NA NA"
"386","Sectator","ocyurus",NA,NA,"Sectator ocyurus","NA NA"
"387","Orthopristis","reddingi",NA,NA,"Orthopristis reddingi","NA NA"
"388","Paralabrax","auroguttatus",NA,NA,"Paralabrax auroguttatus","NA NA"
"389","Paralabrax","loro",NA,NA,"Paralabrax loro","NA NA"
"390","Paralabrax","maculatofasciatus",NA,NA,"Paralabrax maculatofasciatus","NA NA"
"391","Rhinoptera","steindachneri",NA,NA,"Rhinoptera steindachneri","NA NA"
"392","Scorpaena","mystes",NA,NA,"Scorpaena mystes","NA NA"
"393","Seriola","rivoliana",NA,NA,"Seriola rivoliana","NA NA"
"394","Sphoeroides","annulatus",NA,NA,"Sphoeroides annulatus","NA NA"
"395","Suflamen","verres",NA,NA,"Suflamen verres","NA NA"
"396","Trachinotus","rhodopus",NA,NA,"Trachinotus rhodopus","NA NA"
"397","Umbrina","xanti",NA,NA,"Umbrina xanti","NA NA"
"398","Xenichthys","xanti",NA,NA,"Xenichthys xanti","NA NA"
"399","Cephalopholis","panamensis",NA,NA,"Cephalopholis panamensis","NA NA"
"400","Cynoscion","parvipinnis",NA,NA,"Cynoscion parvipinnis","NA NA"
"401","Chaetodipterus","zonatus",NA,NA,"Chaetodipterus zonatus","NA NA"
"402","Epinephelus","acanthistius",NA,NA,"Epinephelus acanthistius","NA NA"
"403","Epinephelus","analogus",NA,NA,"Epinephelus analogus","NA NA"
"404","Caranx","caninus",NA,NA,"Caranx caninus","NA NA"
"405","Caranx","sexfasciatus",NA,NA,"Caranx sexfasciatus","NA NA"
"406","Caranx","caballus",NA,NA,"Caranx caballus","NA NA"
"407","Selar","crumenophtalmus",NA,NA,"Selar crumenophtalmus","NA NA"
"408","Seriola","lalandi",NA,NA,"Seriola lalandi","NA NA"
"409","Seriola","peruana",NA,NA,"Seriola peruana","NA NA"
"410","Seriola","rivoliana",NA,NA,"Seriola rivoliana","NA NA"
"411","Elagatis","bipinnulata",NA,NA,"Elagatis bipinnulata","NA NA"
"412","Caranx","otrynter",NA,NA,"Caranx otrynter","NA NA"
"413","Trachinotus","rhodopus",NA,NA,"Trachinotus rhodopus","NA NA"
"414","Trachinotus","paitensis",NA,NA,"Trachinotus paitensis","NA NA"
"415","Elops","affinis",NA,NA,"Elops affinis","NA NA"
"416","Gerres","cinereus",NA,NA,"Gerres cinereus","NA NA"
"417","Suflamen","verres",NA,NA,"Suflamen verres","NA NA"
"418","Balistes","polylepis",NA,NA,"Balistes polylepis","NA NA"
"419","Microlepidotus","inornatus",NA,NA,"Microlepidotus inornatus","NA NA"
"420","Scomberomorus","sierra",NA,NA,"Scomberomorus sierra","NA NA"
"421","Fistularia","commersonii",NA,NA,"Fistularia commersonii","NA NA"
"422","Strongylura","exilis",NA,NA,"Strongylura exilis","NA NA"
"423","Nematistius","pectoralis",NA,NA,"Nematistius pectoralis","NA NA"
"424","Calamus","brachysomus",NA,NA,"Calamus brachysomus","NA NA"
"425","Paralichthys","californicus",NA,NA,"Paralichthys californicus","NA NA"
"426","Paralichthys","woolmani",NA,NA,"Paralichthys woolmani","NA NA"
"427","Paralichthys","californicus",NA,NA,"Paralichthys californicus","NA NA"
"428","Xystreurys","liolepis",NA,NA,"Xystreurys liolepis","NA NA"
"429","Hippoglossina","stomata",NA,NA,"Hippoglossina stomata","NA NA"
"430","Hippoglossina","tetropthalmus",NA,NA,"Hippoglossina tetropthalmus","NA NA"
"431","Hypsopsetta","guttulata",NA,NA,"Hypsopsetta guttulata","NA NA"
"432","Microstomus","pacificus",NA,NA,"Microstomus pacificus","NA NA"
"433","Citharichthys","gilberti",NA,NA,"Citharichthys gilberti","NA NA"
"434","Citharichthys","xanthostigma",NA,NA,"Citharichthys xanthostigma","NA NA"
"435","Myliobatis","longirostris",NA,NA,"Myliobatis longirostris","NA NA"
"436","Myliobatis","californica",NA,NA,"Myliobatis californica","NA NA"
"437","Dasyatis","dipterura",NA,NA,"Dasyatis dipterura","NA NA"
"438","Rhinobatos","productusd",NA,NA,"Rhinobatos productusd","NA NA"
"439","Rhinoptera","steindachneri",NA,NA,"Rhinoptera steindachneri","NA NA"
"440","Aetobatus","narinari",NA,NA,"Aetobatus narinari","NA NA"
"441","Cyclopsetta","querna",NA,NA,"Cyclopsetta querna","NA NA"
"442","Ancyclopsetta","dendriticaf,",NA,NA,"Ancyclopsetta dendriticaf,","NA NA"
"443","Mugil","cephalus",NA,NA,"Mugil cephalus","NA NA"
"444","Mugil","curema",NA,NA,"Mugil curema","NA NA"
"445","Mugil","hospes",NA,NA,"Mugil hospes","NA NA"
"446","Albula","nemoptera",NA,NA,"Albula nemoptera","NA NA"
"447","Anchoa","ischana",NA,NA,"Anchoa ischana","NA NA"
"448","Ariopsis","guatemalensis",NA,NA,"Ariopsis guatemalensis","NA NA"
"449","Caranxs","vinctus",NA,NA,"Caranxs vinctus","NA NA"
"450","Caranxs","caballus",NA,NA,"Caranxs caballus","NA NA"
"451","Centropomus","nigrescens",NA,NA,"Centropomus nigrescens","NA NA"
"452","Centropomus","robalito",NA,NA,"Centropomus robalito","NA NA"
"453","Centropomus","robalito",NA,NA,"Centropomus robalito","NA NA"
"454","Cetengraulis","mysticetus",NA,NA,"Cetengraulis mysticetus","NA NA"
"455","Chanos","chanos",NA,NA,"Chanos chanos","NA NA"
"456","Chloroscombrus","orqueta",NA,NA,"Chloroscombrus orqueta","NA NA"
"457","Cynoscion","parvipinnis",NA,NA,"Cynoscion parvipinnis","NA NA"
"458","Diapterus","aureolus",NA,NA,"Diapterus aureolus","NA NA"
"459","Diapterus","peruvianus",NA,NA,"Diapterus peruvianus","NA NA"
"460","Malacapa","sp.",NA,NA,"Malacapa sp.","NA NA"
"461","Elops","affinis",NA,NA,"Elops affinis","NA NA"
"462","Eucinostomus","currani",NA,NA,"Eucinostomus currani","NA NA"
"463","Eucinostomus","gracilis",NA,NA,"Eucinostomus gracilis","NA NA"
"464","Gerres","cinereus",NA,NA,"Gerres cinereus","NA NA"
"465","Hemicaranx","zelotes",NA,NA,"Hemicaranx zelotes","NA NA"
"466","Menticirrhus","undulatus",NA,NA,"Menticirrhus undulatus","NA NA"
"467","Oligoplites","altus",NA,NA,"Oligoplites altus","NA NA"
"468","Ophioscion","strabo",NA,NA,"Ophioscion strabo","NA NA"
"469","Opisthonema","libertate",NA,NA,"Opisthonema libertate","NA NA"
"470","Orthopristis","chalceus",NA,NA,"Orthopristis chalceus","NA NA"
"471","Orthopristis","reddingi",NA,NA,"Orthopristis reddingi","NA NA"
"472","Polydactylus","approximans",NA,NA,"Polydactylus approximans","NA NA"
"473","Haemulopsis","leuciscus",NA,NA,"Haemulopsis leuciscus","NA NA"
"474","Pomadasys","panamensis",NA,NA,"Pomadasys panamensis","NA NA"
"475","Pseudupeneus","grandisquamis",NA,NA,"Pseudupeneus grandisquamis","NA NA"
"476","Mulloidichthys","dentatus",NA,NA,"Mulloidichthys dentatus","NA NA"
"477","Selene","brevoortii",NA,NA,"Selene brevoortii","NA NA"
"478","Sphoeroides","annulatus",NA,NA,"Sphoeroides annulatus","NA NA"
"479","Strongylura","exilis",NA,NA,"Strongylura exilis","NA NA"
"480","Xenichthys","xanti",NA,NA,"Xenichthys xanti","NA NA"
"481","Lutjanus","argentriventris",NA,NA,"Lutjanus argentriventris","NA NA"
"482","Caulolatilus","princeps",NA,NA,"Caulolatilus princeps","NA NA"
"483","Caulolatilus","affinis",NA,NA,"Caulolatilus affinis","NA NA"
"484","Caulolatilus","hubbsi",NA,NA,"Caulolatilus hubbsi","NA NA"
"485","Epinephelus","acanthistius",NA,NA,"Epinephelus acanthistius","NA NA"
"486","Epinephelus","niphobles",NA,NA,"Epinephelus niphobles","NA NA"
"487","Paralabrax","nebulifer",NA,NA,"Paralabrax nebulifer","NA NA"
"488","Semicossyphus","pulcher",NA,NA,"Semicossyphus pulcher","NA NA"
"489","Sphyraena","ensis",NA,NA,"Sphyraena ensis","NA NA"
"490","Mustelus","californicus",NA,NA,"Mustelus californicus","NA NA"
"491","Mustelus","lunulatus",NA,NA,"Mustelus lunulatus","NA NA"
"492","Mustelus","henlei",NA,NA,"Mustelus henlei","NA NA"
"493","Paralabrax","auroguttatus",NA,NA,"Paralabrax auroguttatus","NA NA"
"494","Micropogonias","megalops",NA,NA,"Micropogonias megalops","NA NA"
"495","Cynoscion","othonopterus",NA,NA,"Cynoscion othonopterus","NA NA"
"496","Paralabrax","maculatofasciatus",NA,NA,"Paralabrax maculatofasciatus","NA NA"
"497","Rhinobatos","productus",NA,NA,"Rhinobatos productus","NA NA"
"498","Rhinobatos","glaucostigma",NA,NA,"Rhinobatos glaucostigma","NA NA"
"499","Rhinobatos","leucorhynchus",NA,NA,"Rhinobatos leucorhynchus","NA NA"
"500","Narcine","entemedor",NA,NA,"Narcine entemedor","NA NA"
"501","Zapterix","exasperata",NA,NA,"Zapterix exasperata","NA NA"
"502","Dasyatis","dipterura",NA,NA,"Dasyatis dipterura","NA NA"
"503","Dasyatis","longus",NA,NA,"Dasyatis longus","NA NA"
"504","Aetobatus","narinari",NA,NA,"Aetobatus narinari","NA NA"
"505","Rhinoptera","steindachneri",NA,NA,"Rhinoptera steindachneri","NA NA"
"506","Myliobatis","californica",NA,NA,"Myliobatis californica","NA NA"
"507","Myliobatis","longirostris",NA,NA,"Myliobatis longirostris","NA NA"
"508","Gymnura","marmorata",NA,NA,"Gymnura marmorata","NA NA"
"509","Gymnura","crebripunctata",NA,NA,"Gymnura crebripunctata","NA NA"
"510","Raja","velezi",NA,NA,"Raja velezi","NA NA"
"511","Urobatis","halleri",NA,NA,"Urobatis halleri","NA NA"
"512","Urotrygon","rogersi",NA,NA,"Urotrygon rogersi","NA NA"
"513","Urobatis","maculatus",NA,NA,"Urobatis maculatus","NA NA"
"514","Raja","inornata",NA,NA,"Raja inornata","NA NA"
"515","Paralichthys","californicus",NA,NA,"Paralichthys californicus","NA NA"
"516","Paralichthys","aestuarius",NA,NA,"Paralichthys aestuarius","NA NA"
"517","Micropogonias","megalops",NA,NA,"Micropogonias megalops","NA NA"
"518","Squatina","californica",NA,NA,"Squatina californica","NA NA"
"519","Epinephelus","acanthistius",NA,NA,"Epinephelus acanthistius","NA NA"
"520","Paralabrax","auroguttatusd.",NA,NA,"Paralabrax auroguttatusd.","NA NA"
"521","Manta","birostris",NA,NA,"Manta birostris","NA NA"
"522","Mobula","thurstoni",NA,NA,"Mobula thurstoni","NA NA"
"523","Mobula","munkiana",NA,NA,"Mobula munkiana","NA NA"
"524","Mobula","japanica",NA,NA,"Mobula japanica","NA NA"
"525","Mobula","tarapacana",NA,NA,"Mobula tarapacana","NA NA"
"526","Centropomus","viridis",NA,NA,"Centropomus viridis","NA NA"
"527","Centropomus","nigrescens",NA,NA,"Centropomus nigrescens","NA NA"
"528","Centropomus","medius",NA,NA,"Centropomus medius","NA NA"
"529","larga","Centropomus",NA,NA,"larga Centropomus","NA NA"
"530","amarilla,","Centropomus",NA,NA,"amarilla, Centropomus","NA NA"
"531","Strongylura","exilis",NA,NA,"Strongylura exilis","NA NA"
"532","Anisotremus","interruptusc,",NA,NA,"Anisotremus interruptusc,","NA NA"
"533","Ariopsis","seemani",NA,NA,"Ariopsis seemani","NA NA"
"534","Sphyraena","ensis",NA,NA,"Sphyraena ensis","NA NA"
"535","Umbrina","xanti",NA,NA,"Umbrina xanti","NA NA"
"536","Orthopristis","chalceus",NA,NA,"Orthopristis chalceus","NA NA"
"537","Haemulopsis","leuciscusd",NA,NA,"Haemulopsis leuciscusd","NA NA"
"538","Acanthurus","xanthopterus",NA,NA,"Acanthurus xanthopterus","NA NA"
"539","Caranx","caballus",NA,NA,"Caranx caballus","NA NA"
"540","Ophioscion","strabo",NA,NA,"Ophioscion strabo","NA NA"
"541","Haemulon","sexfasciatum",NA,NA,"Haemulon sexfasciatum","NA NA"
"542","Selene","brevoortii",NA,NA,"Selene brevoortii","NA NA"
"543","Caranx","caninus",NA,NA,"Caranx caninus","NA NA"
"544","Caranx","sexfasciatus",NA,NA,"Caranx sexfasciatus","NA NA"
"545","Chloroscombrus","orqueta",NA,NA,"Chloroscombrus orqueta","NA NA"
"546","Gerres","cinereus",NA,NA,"Gerres cinereus","NA NA"
"547","Eucinostomus","dowii",NA,NA,"Eucinostomus dowii","NA NA"
"548","Calamus","brachysomus",NA,NA,"Calamus brachysomus","NA NA"
"549","chumbo","Hemicaranx",NA,NA,"chumbo Hemicaranx","NA NA"
"550","Trachinotus","rhodopus",NA,NA,"Trachinotus rhodopus","NA NA"
"551","Epinephelus","analogus",NA,NA,"Epinephelus analogus","NA NA"
"552","Oligoplites","saurus",NA,NA,"Oligoplites saurus","NA NA"
"553","Haemulon","maculicauda",NA,NA,"Haemulon maculicauda","NA NA"
"554","Xenichthys","xanti",NA,NA,"Xenichthys xanti","NA NA"
"555","Bagre","panamensis",NA,NA,"Bagre panamensis","NA NA"
"556","Hoplopagrus","guentheri",NA,NA,"Hoplopagrus guentheri","NA NA"
"557","Lobotes","pacificus",NA,NA,"Lobotes pacificus","NA NA"
"558","Scomberomorus","sierra",NA,NA,"Scomberomorus sierra","NA NA"
"559","Scomberomorus","concolor",NA,NA,"Scomberomorus concolor","NA NA"
"560","Sectator","ocyurus",NA,NA,"Sectator ocyurus","NA NA"
"561","Nematistius","pectoralis",NA,NA,"Nematistius pectoralis","NA NA"
"562","Seriola","rivoliana",NA,NA,"Seriola rivoliana","NA NA"
"563","Seriola","peruana",NA,NA,"Seriola peruana","NA NA"
"564","Trachinotus","paitensisc",NA,NA,"Trachinotus paitensisc","NA NA"
"565","Trachinotus","rhodopus",NA,NA,"Trachinotus rhodopus","NA NA"
"566","Sphyraena","ensis",NA,NA,"Sphyraena ensis","NA NA"
"567","Oligoplites","altus",NA,NA,"Oligoplites altus","NA NA"
"568","Decapterus","muroadsi",NA,NA,"Decapterus muroadsi","NA NA"
"569","Caranx","caballus",NA,NA,"Caranx caballus","NA NA"
"570","Seriola","lalandi",NA,NA,"Seriola lalandi","NA NA"
"571","Mugil","cephalus",NA,NA,"Mugil cephalus","NA NA"
"572","Calamus","brachysomus",NA,NA,"Calamus brachysomus","NA NA"
"573","Euthynnus","lineatus",NA,NA,"Euthynnus lineatus","NA NA"
"574","Katsuwonus","pelamis",NA,NA,"Katsuwonus pelamis","NA NA"
"575","Sarda","chiliensisb",NA,NA,"Sarda chiliensisb","NA NA"
"576","Atractoscion","nobilis",NA,NA,"Atractoscion nobilis","NA NA"
"577","Cynoscion","parvipinnis",NA,NA,"Cynoscion parvipinnis","NA NA"
"578","Cynoscion","othonopterusd",NA,NA,"Cynoscion othonopterusd","NA NA"
"579","Auxis","thazard",NA,NA,"Auxis thazard","NA NA"
"580","Auxis","rochei",NA,NA,"Auxis rochei","NA NA"
"581","Scomber","japonicus",NA,NA,"Scomber japonicus","NA NA"
"582","Trachurus","symmetricus",NA,NA,"Trachurus symmetricus","NA NA"
"583","Micropogonias","megalops",NA,NA,"Micropogonias megalops","NA NA"
"584","Sarda","orientalis",NA,NA,"Sarda orientalis","NA NA"
"585","Opisthonema","bulleri",NA,NA,"Opisthonema bulleri","NA NA"
"586","Opisthonema","medirastre",NA,NA,"Opisthonema medirastre","NA NA"
"587","Scomber","japonicus",NA,NA,"Scomber japonicus","NA NA"
"588","Cetengraulis","mysticetus",NA,NA,"Cetengraulis mysticetus","NA NA"
"589","Etrumeus","teres",NA,NA,"Etrumeus teres","NA NA"
"590","Trachurus","symmetricus",NA,NA,"Trachurus symmetricus","NA NA"
"591","Oligoplites","refulgens",NA,NA,"Oligoplites refulgens","NA NA"
"592","Parastichopus","parvimensis",NA,NA,"Parastichopus parvimensis","NA NA"
"593","Xiphias","gladius",NA,NA,"Xiphias gladius","NA NA"
"594","Istiophorus","albicans",NA,NA,"Istiophorus albicans","NA NA"
"595","Istiophorus","platypterus",NA,NA,"Istiophorus platypterus","NA NA"
"596","Prionace","glauca",NA,NA,"Prionace glauca","NA NA"
"597","Isurus","oxyrinchus",NA,NA,"Isurus oxyrinchus","NA NA"
"598","Alopias","vulpinus",NA,NA,"Alopias vulpinus","NA NA"
"599","Mustelus","henlei",NA,NA,"Mustelus henlei","NA NA"
"600","Mustelus","spp",NA,NA,"Mustelus spp","NA NA"
"601","Squatina","californica",NA,NA,"Squatina californica","NA NA"
"602","Carcharhinus","falciformis",NA,NA,"Carcharhinus falciformis","NA NA"
"603","Sphyrna","lewini",NA,NA,"Sphyrna lewini","NA NA"
"604","Rhizoprionodon","longurio",NA,NA,"Rhizoprionodon longurio","NA NA"
"605","Sphyrna","zygaena",NA,NA,"Sphyrna zygaena","NA NA"
"606","Carcharhinus","limbatus",NA,NA,"Carcharhinus limbatus","NA NA"
"607","Mustelus","californicus","Cazon","californiano","Mustelus californicus","Cazon californiano"
"608","Mustelus","lunulatus","Cazon","mamon","Mustelus lunulatus","Cazon mamon"
"609","Nasolamia","velox","Coyotito,","punta","Nasolamia velox","Coyotito, punta"
"610","Heterodontus","francisci","Tiburon","torito","Heterodontus francisci","Tiburon torito"
"611","Galeorhinus","galeus","Tiburon","sulfin","Galeorhinus galeus","Tiburon sulfin"
"612","Carcharhinus","leucas","toro,","Chato","Carcharhinus leucas","toro, Chato"
"613","Carcharhinus","brachyurus","Tiburon","lobero","Carcharhinus brachyurus","Tiburon lobero"
"614","Carcharhinus","obscurus","Gambuso,","prieto","Carcharhinus obscurus","Gambuso, prieto"
"615","Carcharhinus","porosus","Tiburon","poroso","Carcharhinus porosus","Tiburon poroso"
"616","Galeocerdo","cuvier","Tintorera",NA,"Galeocerdo cuvier","Tintorera NA"
"617","Alopias","superciliosus","Tiburon","coludo","Alopias superciliosus","Tiburon coludo"
"618","Triakis","semifasciata","Tiburon","leopardo","Triakis semifasciata","Tiburon leopardo"
"619","Heterodontus","mexicanus","Tiburon","torito","Heterodontus mexicanus","Tiburon torito"
"620","Ginglymostoma","cirratum","Gata",NA,"Ginglymostoma cirratum","Gata NA"
"621","Sphyrna","mokarran","Martillo","grande","Sphyrna mokarran","Martillo grande"
"622","Cephaloscyllium","ventriosum","Gata",NA,"Cephaloscyllium ventriosum","Gata NA"
"623","Carcharhinus","falciformis","Aleta","de","Carcharhinus falciformis","Aleta de"
"624","Sphyrna","lewini","Martillo,","cornuda","Sphyrna lewini","Martillo, cornuda"
"625","Carcharhinus","limbatus","Puntas","Negras","Carcharhinus limbatus","Puntas Negras"
"626","Nasolamia","velox","Zorrito,","coyotito","Nasolamia velox","Zorrito, coyotito"
"627","Alopias","superciliosus","Tiburon","perro","Alopias superciliosus","Tiburon perro"
"628","Alopias","pelagicus","Tiburon","perro","Alopias pelagicus","Tiburon perro"
"629","Carcharhinus","leucas","Toro,","chato","Carcharhinus leucas","Toro, chato"
"630","Sphyrna","zygaena","Cornuda,","martillo","Sphyrna zygaena","Cornuda, martillo"
"631","Mustelus","lunulatus","Cazon","mamon","Mustelus lunulatus","Cazon mamon"
"632","Galeocerdo","cuvier","Tintorera",NA,"Galeocerdo cuvier","Tintorera NA"
"633","Sphyrna","mokarran","Martillo","grande","Sphyrna mokarran","Martillo grande"
"634","Rhizoprionodon","longurio","Cazon","bironche","Rhizoprionodon longurio","Cazon bironche"
"635","Carcharhinus","obscurus","Tiburon","prieto","Carcharhinus obscurus","Tiburon prieto"
"636","Ginglymostoma","cirratum","Gata",NA,"Ginglymostoma cirratum","Gata NA"
"637","Prionace","glauca","Tiburon","azul","Prionace glauca","Tiburon azul"
"638","Alopias","vulpinus","Tiburon","perro","Alopias vulpinus","Tiburon perro"
"639","Isurus","oxyrinchus","Tiburon","mako","Isurus oxyrinchus","Tiburon mako"
"640","Carcharhinus","longimanus","Tiburon","aleta","Carcharhinus longimanus","Tiburon aleta"
"641","Carcharhinus","altimus","Tiburon","colorado","Carcharhinus altimus","Tiburon colorado"
"642","Sphyrna","corona","Tiburon","martillo","Sphyrna corona","Tiburon martillo"
"643","Carcharhinus","limbatus","Puntas","Negras","Carcharhinus limbatus","Puntas Negras"
"644","Thunnus","albacares","Atun","aleta","Thunnus albacares","Atun aleta"
"645","Thunnus","orientalis","Atun","aleta","Thunnus orientalis","Atun aleta"
"646","Katsuwonus","pelamis","Barrilete",NA,"Katsuwonus pelamis","Barrilete NA"
"647","Thunnus","alalunga","Albacora",NA,"Thunnus alalunga","Albacora NA"
"648","Thunnus","obesus","Patudo",NA,"Thunnus obesus","Patudo NA"
"649","Euthynnus","lineatus","Barrilete","negro","Euthynnus lineatus","Barrilete negro"
"650","Rangia","cuneata","Almeja","gallito","Rangia cuneata","Almeja gallito"
"651","Polymesoda","caroliniana","Almeja","negra,","Polymesoda caroliniana","Almeja negra,"
"652","Rangia","flexuosa","Almeja","burra,","Rangia flexuosa","Almeja burra,"
"653","Codakia","orbicularis","Almeja","blanca","Codakia orbicularis","Almeja blanca"
"654","Mercenaria","campechiensis","Almeja","bola","Mercenaria campechiensis","Almeja bola"
"655","Farfantepenaeus","aztecus","Camaron","cafe","Farfantepenaeus aztecus","Camaron cafe"
"656","Litopenaeus","setiferus","Camaron","blanco","Litopenaeus setiferus","Camaron blanco"
"657","Farfantepenaeus","duorarum","Camaron","rosado","Farfantepenaeus duorarum","Camaron rosado"
"658","Sicyonia","brevirostris","Camaron","de","Sicyonia brevirostris","Camaron de"
"659","Xiphopenaeus","k royeri","Camaron","siete","Xiphopenaeus k royeri","Camaron siete"
"660","Farfantepenaeus","brasiliensis","Camaron","rojo","Farfantepenaeus brasiliensis","Camaron rojo"
"661","Sicyonia","brevirostris","Camaron","de","Sicyonia brevirostris","Camaron de"
"662","Farfantepenaeus","duorarum","Camaron","rosado","Farfantepenaeus duorarum","Camaron rosado"
"663","Farfantepenaeus","aztecus","Camaron","cafe","Farfantepenaeus aztecus","Camaron cafe"
"664","Farfantepenaeus","setiferus","Camaron","blanco","Farfantepenaeus setiferus","Camaron blanco"
"665","Farfantepenaeus","brasiliensis","Camaron","rojo","Farfantepenaeus brasiliensis","Camaron rojo"
"666","Sicyonia","brevirostris","Camaron","de","Sicyonia brevirostris","Camaron de"
"667","Trachypenaeus","spp.","Camaron","sintetico","Trachypenaeus spp.","Camaron sintetico"
"668","Xiphopenaeus","kroyeri","Camaron","siete","Xiphopenaeus kroyeri","Camaron siete"
"669","Litopenaeus","setiferus","Camaron","blanco","Litopenaeus setiferus","Camaron blanco"
"670","Cardisoma","guanhumi","Cangrejo","azul","Cardisoma guanhumi","Cangrejo azul"
"671","Ucides","cordatus","Cangrejo","Morro","Ucides cordatus","Cangrejo Morro"
"672","Strombus","gigas","Caracol","rosado,","Strombus gigas","Caracol rosado,"
"673","Turbinella","angulata","Caracol","tomburro","Turbinella angulata","Caracol tomburro"
"674","Busycon","perversum","Caracol","trompillo,","Busycon perversum","Caracol trompillo,"
