"","P_Venta","P_Menudeo","P_Destino","P_Estado","P_Punto"
"60","Precio de Venta de Tiburon con cabeza en el Origen (1998-2016)","Precio de Menudeo de Tiburon con cabeza (1998-2016)","Precio de Tiburon con cabeza en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"61","Precio de Venta de Tiburon Majarro sin cabeza en el Origen (1998-2016)","Precio de Menudeo de Tiburon Majarro sin cabeza (1998-2016)","Precio de Tiburon Majarro sin cabeza en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"62","Precio de Venta de Tiburon sin cabeza en el Origen (1998-2016)","Precio de Menudeo de Tiburon sin cabeza (1998-2016)","Precio de Tiburon sin cabeza en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"63","Precio de Venta de Tolete en el Origen (1998-2016)","Precio de Menudeo de Tolete (1998-2016)","Precio de Tolete en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"64","Precio de Venta de Torito en el Origen (1998-2016)","Precio de Menudeo de Torito (1998-2016)","Precio de Torito en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"65","Precio de Venta de Trucha marina en el Origen (1998-2016)","Precio de Menudeo de Trucha marina (1998-2016)","Precio de Trucha marina en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"66","Precio de Venta de Vaqueta en el Origen (1998-2016)","Precio de Menudeo de Vaqueta (1998-2016)","Precio de Vaqueta en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"67","Precio de Venta de Verdillo en el Origen (1998-2016)","Precio de Menudeo de Verdillo (1998-2016)","Precio de Verdillo en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"68","Precio de Venta de Acamayacruda en el Origen (1998-2016)","Precio de Menudeo de Acamayacruda (1998-2016)","Precio de Acamayacruda en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"69","Precio de Venta de Camaron con cabeza mediana en el Origen (1998-2016)","Precio de Menudeo de Camaron con cabeza mediana (1998-2016)","Precio de Camaron con cabeza mediana en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"70","Precio de Venta de Camaron coctel en el Origen (1998-2016)","Precio de Menudeo de Camaron coctel (1998-2016)","Precio de Camaron coctel en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"71","Precio de Venta de Camaron chico con cabeza en el Origen (1998-2016)","Precio de Menudeo de Camaron chico con cabeza (1998-2016)","Precio de Camaron chico con cabeza en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"72","Precio de Venta de Camaron chicos con cabeza en el Origen (1998-2016)","Precio de Menudeo de Camaron chicos con cabeza (1998-2016)","Precio de Camaron chicos con cabeza en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"73","Precio de Venta de Camaron grande con cabeza en el Origen (1998-2016)","Precio de Menudeo de Camaron grande con cabeza (1998-2016)","Precio de Camaron grande con cabeza en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"74","Precio de Venta de Camaron grandes con cabeza en el Origen (1998-2016)","Precio de Menudeo de Camaron grandes con cabeza (1998-2016)","Precio de Camaron grandes con cabeza en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"75","Precio de Venta de Camaron Macuil en el Origen (1998-2016)","Precio de Menudeo de Camaron Macuil (1998-2016)","Precio de Camaron Macuil en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"76","Precio de Venta de Camaron mediano con cabeza en el Origen (1998-2016)","Precio de Menudeo de Camaron mediano con cabeza (1998-2016)","Precio de Camaron mediano con cabeza en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
