Especie,Region,Comun
Panulirus inflatus,RGI,Langosta azul
Panulirus interruptus,RGI,Langosta roja
Pentaceraster cumingi,RGI,Estrella acolchonada
Pharia pyramidata,RGI,Estrella piramide
Phataria unifascialis,RGI,Estrella azul
Pinctada mazatlanica,RGI,Madre perla
Pinna rugosa,RGI,Callo de hacha
Pteria sterna,RGI,Callo de arbol
Spondylus limbatus,RGI,Callo escarlopa
Spondylus crassisquama,RGI,Almaje mechuda
Stenorhynchus debilis,RGI,Cangrejo arana
Strombina maculosa,RGI,Concha manchada
Strombus gracilior,RGI,Caracol amarillo chico
Toxopneustes roseus,RGI,Erizo floreado
Triplofusus princeps,RGI,Caracol
Tripneustes depressus,RGI,Erizo cafe
Turbo fluctuosus,RGI,Caracol burgado
Anthopleura sp. ,PBC,Anemona gigante
Cancer sp.,PBC,Cangrejo jaiba
Centrostephanus coronatus,PBC,Erizo corona 
Crassedoma gigantea,PBC,Almeja de roca
Neobernaya spadicea,PBC,Caracol porcelana
Cypraea sp.,PBC,Caracol
Muricea sp.,PBC,Gorgonido
Haliotis corrugata,PBC,Abulon amarillo
Haliotis cracherodii,PBC,Abulon negro
Haliotis fulgens,PBC,Abulon azul
Haliotis rufescens,PBC,Abulon rojo
Haliotis sorenseni,PBC,Abulon chino
Kelletia kelletii,PBC,Caracol tornillo
Leptogorgia chilensis,PBC,Gorgonido rojo
Megastraea turbanica,PBC,Caracol turbina
Megastraea undosa,PBC,Caracol undosa
Loxorhynchus grandis,PBC,Cangrejo arana
Megathura crenulata,PBC,Lapa china
Mesocentrotus franciscanus,PBC,Erizo rojo
Muricea californica,PBC,Gorgonido
Octopus sp.,PBC,Pulpo
Panulirus interruptus,PBC,Langosta roja
Parastichopus parvimensis,PBC,Pepino 
Patiria miniata,PBC,Estrella muricielago
Pisaster giganteus,PBC,Estrella gigante
Pycnopodia helianthoides,PBC,Estrella sol
Strongylocentrotus purpuratus,PBC,Erizo morado
