"","Nombre Comun","Entidad","Oficina","Origen","Min","Max","D2.n","Nombre_I","Nombre_II","Nombre_III","Key_I","Key_II","Key_III"
"23","ABULON AZUL","GUERRERO","ACAPULCO","CAPTURA",NA,NA,1,"CAPTURA (Peso Vivo) de ABULON AZUL en ACAPULCO","CAPTURA (Peso Desemb.) de ABULON AZUL en ACAPULCO","Valor de CAPTURA de ABULON AZUL en ACAPULCO","Peso; Vivo; Captura;;ABULON AZUL;ACAPULCO","Peso; Desembarcado; Captura;;ABULON AZUL;ACAPULCO","Valor; Ganancia; Captura;;ABULON AZUL;ACAPULCO"
"24","ABULON AZUL","OAXACA","PUERTO ESCONDIDO","CAPTURA",2014,2014,1,"CAPTURA (Peso Vivo) de ABULON AZUL en PUERTO ESCONDIDO","CAPTURA (Peso Desemb.) de ABULON AZUL en PUERTO ESCONDIDO","Valor de CAPTURA de ABULON AZUL en PUERTO ESCONDIDO","Peso; Vivo; Captura;;ABULON AZUL;PUERTO ESCONDIDO","Peso; Desembarcado; Captura;;ABULON AZUL;PUERTO ESCONDIDO","Valor; Ganancia; Captura;;ABULON AZUL;PUERTO ESCONDIDO"
"25","ABULON BLANCO","VERACRUZ","VERACRUZ","CAPTURA",2014,2014,1,"CAPTURA (Peso Vivo) de ABULON BLANCO en VERACRUZ","CAPTURA (Peso Desemb.) de ABULON BLANCO en VERACRUZ","Valor de CAPTURA de ABULON BLANCO en VERACRUZ","Peso; Vivo; Captura;;ABULON BLANCO;VERACRUZ","Peso; Desembarcado; Captura;;ABULON BLANCO;VERACRUZ","Valor; Ganancia; Captura;;ABULON BLANCO;VERACRUZ"
"26","ABULON NEGRO","BAJA CALIFORNIA","ENSENADA","CAPTURA",2006,2007,2,"CAPTURA (Peso Vivo) de ABULON NEGRO en ENSENADA","CAPTURA (Peso Desemb.) de ABULON NEGRO en ENSENADA","Valor de CAPTURA de ABULON NEGRO en ENSENADA","Peso; Vivo; Captura;;ABULON NEGRO;ENSENADA","Peso; Desembarcado; Captura;;ABULON NEGRO;ENSENADA","Valor; Ganancia; Captura;;ABULON NEGRO;ENSENADA"
"27","ABULON NEGRO","BAJA CALIFORNIA","SAN FELIPE","CAPTURA",2008,2008,1,"CAPTURA (Peso Vivo) de ABULON NEGRO en SAN FELIPE","CAPTURA (Peso Desemb.) de ABULON NEGRO en SAN FELIPE","Valor de CAPTURA de ABULON NEGRO en SAN FELIPE","Peso; Vivo; Captura;;ABULON NEGRO;SAN FELIPE","Peso; Desembarcado; Captura;;ABULON NEGRO;SAN FELIPE","Valor; Ganancia; Captura;;ABULON NEGRO;SAN FELIPE"
"28","ABULON ROJO","BAJA CALIFORNIA","ENSENADA","ACUACULTURA",2007,2014,7,"ACUACULTURA (Peso Vivo) de ABULON ROJO en ENSENADA","ACUACULTURA (Peso Desemb.) de ABULON ROJO en ENSENADA","Valor de ACUACULTURA de ABULON ROJO en ENSENADA","Peso; Vivo; Captura;;ABULON ROJO;ENSENADA","Peso; Desembarcado; Captura;;ABULON ROJO;ENSENADA","Valor; Ganancia; Captura;;ABULON ROJO;ENSENADA"
"29","ABULON ROJO","BAJA CALIFORNIA","ISLA CEDROS","ACUACULTURA",2008,2008,1,"ACUACULTURA (Peso Vivo) de ABULON ROJO en ISLA CEDROS","ACUACULTURA (Peso Desemb.) de ABULON ROJO en ISLA CEDROS","Valor de ACUACULTURA de ABULON ROJO en ISLA CEDROS","Peso; Vivo; Captura;;ABULON ROJO;ISLA CEDROS","Peso; Desembarcado; Captura;;ABULON ROJO;ISLA CEDROS","Valor; Ganancia; Captura;;ABULON ROJO;ISLA CEDROS"
"30","ABULON ROJO","BAJA CALIFORNIA","MEXICALI","ACUACULTURA",2008,2008,1,"ACUACULTURA (Peso Vivo) de ABULON ROJO en MEXICALI","ACUACULTURA (Peso Desemb.) de ABULON ROJO en MEXICALI","Valor de ACUACULTURA de ABULON ROJO en MEXICALI","Peso; Vivo; Captura;;ABULON ROJO;MEXICALI","Peso; Desembarcado; Captura;;ABULON ROJO;MEXICALI","Valor; Ganancia; Captura;;ABULON ROJO;MEXICALI"
"31","ABULON ROJO","BAJA CALIFORNIA","SAN FELIPE","ACUACULTURA",2008,2008,1,"ACUACULTURA (Peso Vivo) de ABULON ROJO en SAN FELIPE","ACUACULTURA (Peso Desemb.) de ABULON ROJO en SAN FELIPE","Valor de ACUACULTURA de ABULON ROJO en SAN FELIPE","Peso; Vivo; Captura;;ABULON ROJO;SAN FELIPE","Peso; Desembarcado; Captura;;ABULON ROJO;SAN FELIPE","Valor; Ganancia; Captura;;ABULON ROJO;SAN FELIPE"
"32","ABULON ROJO","BAJA CALIFORNIA","SAN QUINTIN","ACUACULTURA",2010,2012,2,"ACUACULTURA (Peso Vivo) de ABULON ROJO en SAN QUINTIN","ACUACULTURA (Peso Desemb.) de ABULON ROJO en SAN QUINTIN","Valor de ACUACULTURA de ABULON ROJO en SAN QUINTIN","Peso; Vivo; Captura;;ABULON ROJO;SAN QUINTIN","Peso; Desembarcado; Captura;;ABULON ROJO;SAN QUINTIN","Valor; Ganancia; Captura;;ABULON ROJO;SAN QUINTIN"
"33","ABULON ROJO","OAXACA","PUERTO ESCONDIDO","CAPTURA",2014,2014,1,"CAPTURA (Peso Vivo) de ABULON ROJO en PUERTO ESCONDIDO","CAPTURA (Peso Desemb.) de ABULON ROJO en PUERTO ESCONDIDO","Valor de CAPTURA de ABULON ROJO en PUERTO ESCONDIDO","Peso; Vivo; Captura;;ABULON ROJO;PUERTO ESCONDIDO","Peso; Desembarcado; Captura;;ABULON ROJO;PUERTO ESCONDIDO","Valor; Ganancia; Captura;;ABULON ROJO;PUERTO ESCONDIDO"
"34","ABULON SE","BAJA CALIFORNIA","EL ROSARIO","ACUACULTURA",2013,2013,1,"ACUACULTURA (Peso Vivo) de ABULON SE en EL ROSARIO","ACUACULTURA (Peso Desemb.) de ABULON SE en EL ROSARIO","Valor de ACUACULTURA de ABULON SE en EL ROSARIO","Peso; Vivo; Captura;;ABULON SE;EL ROSARIO","Peso; Desembarcado; Captura;;ABULON SE;EL ROSARIO","Valor; Ganancia; Captura;;ABULON SE;EL ROSARIO"
"35","ABULON SE","BAJA CALIFORNIA","ENSENADA","ACUACULTURA",2006,2013,5,"ACUACULTURA (Peso Vivo) de ABULON SE en ENSENADA","ACUACULTURA (Peso Desemb.) de ABULON SE en ENSENADA","Valor de ACUACULTURA de ABULON SE en ENSENADA","Peso; Vivo; Captura;;ABULON SE;ENSENADA","Peso; Desembarcado; Captura;;ABULON SE;ENSENADA","Valor; Ganancia; Captura;;ABULON SE;ENSENADA"
"36","ABULON SE","VERACRUZ","VERACRUZ","CAPTURA",2014,2014,1,"CAPTURA (Peso Vivo) de ABULON SE en VERACRUZ","CAPTURA (Peso Desemb.) de ABULON SE en VERACRUZ","Valor de CAPTURA de ABULON SE en VERACRUZ","Peso; Vivo; Captura;;ABULON SE;VERACRUZ","Peso; Desembarcado; Captura;;ABULON SE;VERACRUZ","Valor; Ganancia; Captura;;ABULON SE;VERACRUZ"
"37","ALGA EGRARIA","BAJA CALIFORNIA","SAN QUINTIN","CAPTURA",2014,2014,1,"CAPTURA (Peso Vivo) de ALGA EGRARIA en SAN QUINTIN","CAPTURA (Peso Desemb.) de ALGA EGRARIA en SAN QUINTIN","Valor de CAPTURA de ALGA EGRARIA en SAN QUINTIN","Peso; Vivo; Captura;;ALGA EGRARIA;SAN QUINTIN","Peso; Desembarcado; Captura;;ALGA EGRARIA;SAN QUINTIN","Valor; Ganancia; Captura;;ALGA EGRARIA;SAN QUINTIN"
"38","ALGA ESPIRULINA","BAJA CALIFORNIA","ENSENADA","ACUACULTURA",2013,2014,2,"ACUACULTURA (Peso Vivo) de ALGA ESPIRULINA en ENSENADA","ACUACULTURA (Peso Desemb.) de ALGA ESPIRULINA en ENSENADA","Valor de ACUACULTURA de ALGA ESPIRULINA en ENSENADA","Peso; Vivo; Captura;;ALGA ESPIRULINA;ENSENADA","Peso; Desembarcado; Captura;;ALGA ESPIRULINA;ENSENADA","Valor; Ganancia; Captura;;ALGA ESPIRULINA;ENSENADA"
