area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1984,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,32.5989151,47790.00954
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1984,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,1145.993915,1680027.079
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1985,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,13.59727171,19933.60033
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1985,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,15.10198029,22139.5031
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1986,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,2.250778111,3299.64071
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1987,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,0.074384404,109.0475364
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1988,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,1.753927918,2571.258328
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1989,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,0.099179719,145.3974673
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1990,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,0.89131106,1306.662014
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1991,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,717.1803671,1051386.418
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1992,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,213.5552009,689569.7436
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1993,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,0.401477633,588.5662093
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1994,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,52.92720764,77591.2864
